FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,BULLIED,LANGN_Italian,LANGN_Other,REPEAT_Never repeated,REPEAT_Repeated at lease once,SCHLTYPE_Private Government-dependent,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Immig student,IMMIG_Native student,external_evaluation_Missing,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Female,Gender_Male,additional_math_classes_Missing,additional_math_classes_No,additional_math_classes_Yes,PROGN_Academic,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,STRESAGR,EMOCOAGR,ANXMAT,COOPAGR,PERSEVAGR,BELONG,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
-0.9247402732229217,-1.4826799643490876,0.5274559097909656,0.19163272389290162,-0.03634107778625896,0.28223575943198304,1.5160479226539236,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.5912,-0.34214,-0.21416,-0.0027400000000000536,-0.9691,-0.0479,0.544,0.3456,0.2139,-0.8618,2.0,1,1,1,1
0.5577965345100332,-0.5019873756041143,0.4177815850590814,0.5325079103512748,0.8955948852762118,-0.25927973914569985,1.1395060754840003,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.2807,-0.79888,0.28315999999999997,-0.2624,-1.6833,-1.1878,1.5409,0.1059,0.0568,-0.0397,2.0,1,1,1,1
-0.05416923487520252,-0.47613014835070167,0.6069623993014488,0.35312224375342255,0.29562725135207385,0.3638880470446655,0.8761502064163811,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0603,-0.60074,0.23671999999999999,0.06573999999999999,0.2033,0.8837,1.0112,-0.9594,-5.3072,0.5119,2.0,1,1,1,1
-0.8277907077806547,-0.12978553690785674,1.325011591568697,0.743692179369711,1.0269165982821453,0.7337432753810599,1.3372098956967435,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.8982,-0.32332,-0.4866,-0.013400000000000023,-0.5283,-0.5903,0.6387,0.1568,-0.2463,-0.7225,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,-0.17047912112185518,0.9859588428981119,-0.15890709684066703,1.3820049100852114,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.5156,-0.44742,-0.10466000000000006,-0.8389200000000001,0.1621,-0.5878,0.7774,-0.3668,0.0261,-0.1965,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.42408193720715504,1.5285020303715502,-0.3251482842555024,0.6165138244867171,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.644,-0.18918,0.17054,-0.27030000000000004,1.2871,1.1458,0.1414,-0.7755,1.2997,0.0425,2.0,1,1,1,1
0.10390615243172961,-0.38169407741922,0.9736693770535332,1.5459044027511795,-1.075620663991122,-0.9803229403001895,-0.9440440991232579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.7588,-0.6936399999999999,0.09854,-0.40698000000000006,0.5637,-0.2983,-1.6826,-0.0219,-1.2652,-0.48742,2.0,1,1,1,1
-0.2471799662735442,-0.3988910926153045,1.1118000804059565,1.6312756023772903,0.7212974216412882,0.44355337486196095,0.3975896890609361,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.3857,-0.5246600000000001,-0.14902000000000004,-1.14188,0.5551,0.2141,2.5078,0.1117,-0.5255,-0.4375,2.0,1,1,1,1
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,1.5459044027511795,-1.075620663991122,-0.9803229403001895,-0.9440440991232579,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.4155,-0.26139999999999997,-0.23369999999999996,0.17171999999999996,-1.11016,-0.30806,0.11264,-0.0162,-0.0402,-1.1903,2.0,1,1,1,1
-0.2111324254890961,-1.2037196780726043,0.17459518162645546,1.1193354033142133,0.21726648070768004,0.7069705586971334,1.5072310861456466,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9164,-0.06295999999999999,-0.32578,-0.34819999999999995,-0.0883,-0.1498,0.8251,-0.3994,-0.6361,-0.3397,2.0,1,1,1,1
