studentID,schoolID
38000001.0,38000165.0
38000854.0,38000165.0
38001888.0,38000165.0
38002036.0,38000165.0
38003018.0,38000165.0
38004112.0,38000165.0
38004501.0,38000165.0
38004801.0,38000165.0
38005230.0,38000165.0
38005393.0,38000165.0
38006211.0,38000165.0
38006255.0,38000165.0
38006867.0,38000165.0
38007650.0,38000165.0
38007881.0,38000165.0
38008146.0,38000165.0
38008277.0,38000165.0
38008525.0,38000165.0
38008585.0,38000165.0
38009159.0,38000165.0
38009406.0,38000165.0
38010253.0,38000165.0
38010404.0,38000165.0
38011008.0,38000165.0
38011097.0,38000165.0
38011852.0,38000165.0
38012595.0,38000165.0
38013990.0,38000165.0
38014931.0,38000165.0
38014980.0,38000165.0
38000003.0,38000035.0
38000023.0,38000035.0
38000166.0,38000035.0
38000382.0,38000035.0
38000595.0,38000035.0
38000765.0,38000035.0
38002871.0,38000035.0
38003024.0,38000035.0
38003234.0,38000035.0
38003643.0,38000035.0
38004119.0,38000035.0
38004522.0,38000035.0
38004750.0,38000035.0
38004763.0,38000035.0
38005474.0,38000035.0
38006675.0,38000035.0
38006984.0,38000035.0
38007254.0,38000035.0
38007378.0,38000035.0
38007412.0,38000035.0
38007710.0,38000035.0
38008812.0,38000035.0
38008928.0,38000035.0
38008994.0,38000035.0
38009006.0,38000035.0
38010063.0,38000035.0
38011295.0,38000035.0
38011633.0,38000035.0
38011656.0,38000035.0
38012133.0,38000035.0
38012383.0,38000035.0
38012400.0,38000035.0
38012725.0,38000035.0
38012976.0,38000035.0
38013727.0,38000035.0
38014234.0,38000035.0
38014393.0,38000035.0
38014594.0,38000035.0
38000004.0,38000064.0
38000081.0,38000064.0
38000903.0,38000064.0
38000991.0,38000064.0
38001830.0,38000064.0
38002163.0,38000064.0
38003034.0,38000064.0
38003069.0,38000064.0
38003562.0,38000064.0
38004339.0,38000064.0
38004406.0,38000064.0
38004524.0,38000064.0
38004566.0,38000064.0
38004989.0,38000064.0
38005926.0,38000064.0
38006312.0,38000064.0
38006519.0,38000064.0
38006636.0,38000064.0
38006781.0,38000064.0
38007395.0,38000064.0
38007661.0,38000064.0
38008065.0,38000064.0
38008373.0,38000064.0
38008977.0,38000064.0
38010584.0,38000064.0
38010615.0,38000064.0
38010892.0,38000064.0
38011216.0,38000064.0
38011869.0,38000064.0
38013012.0,38000064.0
38013076.0,38000064.0
38013408.0,38000064.0
38013676.0,38000064.0
38013725.0,38000064.0
38014775.0,38000064.0
38014969.0,38000064.0
38015048.0,38000064.0
38000007.0,38000225.0
38000377.0,38000225.0
38000599.0,38000225.0
38001057.0,38000225.0
38001068.0,38000225.0
38001345.0,38000225.0
38001544.0,38000225.0
38001609.0,38000225.0
38001875.0,38000225.0
