FAMSUP,STUBEHA,STAFFSHORT,PROPSUPP,SCHSIZE,RATCMP1,LANGN_Other,REPEAT_Repeated at lease once,SCHLTYPE_Private independent,SCHLTYPE_Public,IMMIG_Native student,external_evaluation_No,"external_evaluation_Yes, based on school initiative","external_evaluation_Yes, this is mandatory, e.g. based on district or ministry policies",Gender_Male,additional_math_classes_No,additional_math_classes_Yes,PROGN_Technical,PROGN_Vocational,CLSIZE,math_grouping,degree_of_competition,municipality_size,EDUSHORT_binned,ESCS,INSTLEAD,TEACHBEHA,DIGPREP,SCHAUTO_ORDINAL,track_student_attendance,PROATCE,SCSUPRTED,PROBSCRI
-0.9247402732229217,-1.4826799643490876,0.5274559097909656,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-1.5912,-0.3173,0.13411999999999988,0.10147999999999999,2.0,0,0,0,0
0.5577965345100332,-0.5019873756041143,0.4177815850590814,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.2807,0.26896,0.23545999999999995,-0.055379999999999985,2.0,0,0,0,0
-0.05416923487520252,-0.47613014835070167,0.6069623993014488,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0603,0.11391999999999998,0.23550000000000004,0.05789999999999999,2.0,0,0,0,0
-0.8277907077806547,-0.12978553690785674,1.325011591568697,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.8982,-0.08938000000000003,0.10107999999999998,0.39518,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.5156,0.45565999999999995,-0.6668399999999999,0.34797999999999996,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.644,0.21812,-0.5227600000000001,-0.35606,2.0,0,0,0,0
0.10390615243172961,-0.38169407741922,0.9736693770535332,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.7588,0.15807999999999997,0.06312000000000001,-0.24014000000000002,2.0,0,0,0,0
-0.2471799662735442,-0.3988910926153045,1.1118000804059565,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,-0.3857,-0.37870000000000004,0.24500000000000002,-0.1892,2.0,0,0,0,0
-0.019366864848532176,-0.33927357155609283,0.49053247676989475,0.2232109595676299,0.13228810265383856,0.26132803803606447,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.4155,-0.7142999999999999,0.7869400000000001,-0.55158,2.0,0,0,0,0
-0.2111324254890961,-1.2037196780726043,0.17459518162645546,0.2232109595676299,0.13228810265383856,0.26132803803606447,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.9164,-0.27182,0.7095400000000001,-0.23986000000000002,2.0,0,0,0,0
