schoolID,studentID,Gender,PROGN,IMMIG,LANGN,REPEAT,FAMSUP,ESCS,PV1MATH,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
38000035.0,38000595.0,Male,Academic,Native student,Other,Never repeated,0.2685,0.0114,576.092,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38000765.0,Female,Academic,Immig student,Other,Never repeated,0.1952,-0.2142,463.628,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38002871.0,Female,Academic,Native student,Other,Never repeated,-1.0077,0.3595,509.386,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38003024.0,Female,Academic,Native student,Other,Never repeated,0.6532,-0.3374,519.545,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38003234.0,Female,Academic,Native student,Other,Never repeated,0.0292,1.0342,520.715,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38003643.0,Male,Academic,Native student,Other,Never repeated,0.1361,1.1286,586.943,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38004119.0,Female,Academic,Native student,Other,Never repeated,-1.3441,-0.9038,486.871,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38004522.0,Female,Academic,Native student,Other,Never repeated,-0.3941,0.0937,497.863,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38004750.0,Female,Academic,Native student,Other,Never repeated,-0.1555,0.1857,549.865,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38004763.0,Female,Academic,Native student,Other,Never repeated,-0.2889,-0.0106,548.701,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
