Gender,PROGN,IMMIG,LANGN,REPEAT,FAMSUP,ESCS,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
Female,Academic,Native student,Other,Never repeated,0.6532,-0.3374,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,0.0292,1.0342,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Male,Academic,Native student,Other,Never repeated,0.1361,1.1286,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-1.3441,-0.9038,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-0.3941,0.0937,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-0.1555,0.1857,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-0.2889,-0.0106,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Male,Academic,Native student,Other,Never repeated,0.9304,-0.5166,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-0.1129,0.7859,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-1.0794,0.3579,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
